Aika[s]	Askeleet	Voimamittaus[V/V]	Siirtymä[mm]	Sellipaine-mitattu[kPa]	Huokosvedenpaine[kPa]	Vaaka[g]	Voimamittaus[kg]	Nousunopeus[mm/min]	Kompensoitu siirtymä[mm]	Suhteellinen kokoonpuristuma[%]	Suhteellinen tilavuuden muutos[%]	Maksimileikkausjännitys[kPa]
582886,776331	60466,000000	-0,000948	19,486892	90,911682	5,957207	0,000000	48,240594	0,002000	19,425314	17,696378	0,000000	10,387382
582897,076169	60467,000000	-0,000947	19,486533	90,907553	5,949853	0,000000	48,179238	0,002000	19,425638	17,696673	0,000000	10,374211
582907,376310	60468,000000	-0,000948	19,487678	90,892592	5,967943	0,000000	48,252141	0,002000	19,425956	17,696963	0,000000	10,389779
582917,876060	60470,000000	-0,000947	19,487348	90,906771	5,954538	0,000000	48,194944	0,002000	19,426601	17,697551	0,000000	10,377500
582928,576376	60471,000000	-0,000948	19,488457	90,906419	5,945403	0,000000	48,220334	0,002000	19,426921	17,697842	0,000000	10,382841
582938,876670	60472,000000	-0,000949	19,488301	90,901608	5,941474	0,000000	48,279528	0,002000	19,427240	17,698132	0,000000	10,395605
582949,176066	60473,000000	-0,000948	19,488503	90,893862	5,976421	0,000000	48,237988	0,002000	19,427563	17,698427	0,000000	10,386637
582959,275919	60474,000000	-0,000949	19,488598	90,901097	5,966290	0,000000	48,271125	0,002000	19,427883	17,698718	0,000000	10,393762
582969,775869	60475,000000	-0,000947	19,489283	90,908034	5,985339	0,000000	48,209140	0,002000	19,428207	17,699013	0,000000	10,380337
582980,275960	60476,000000	-0,000949	19,490123	90,904312	5,963484	0,000000	48,271076	0,002000	19,428525	17,699303	0,000000	10,393578
582990,776058	60477,000000	-0,000947	19,489809	90,915026	5,979693	0,000000	48,215717	0,002000	19,428849	17,699599	0,000000	10,381694
583001,677011	60478,000000	-0,000948	19,490167	90,900271	5,972860	0,000000	48,251675	0,002000	19,429169	17,699890	0,000000	10,389396
583012,176177	60479,000000	-0,000947	19,490314	90,896561	5,952863	0,000000	48,189199	0,002000	19,429493	17,700185	0,000000	10,375927
583022,476772	60480,000000	-0,000948	19,491440	90,915377	5,979510	0,000000	48,255825	0,002000	19,429811	17,700475	0,000000	10,390145
583032,976869	60481,000000	-0,000947	19,491203	90,940725	5,974092	0,000000	48,196089	0,002000	19,430135	17,700770	0,000000	10,377309
583043,876697	60483,000000	-0,000948	19,491317	90,886399	5,971195	0,000000	48,221308	0,002000	19,430777	17,701354	0,000000	10,382727
583054,576385	60484,000000	-0,000949	19,492372	90,910838	5,955786	0,000000	48,270768	0,002000	19,431096	17,701645	0,000000	10,393256
583065,176015	60485,000000	-0,000948	19,492537	90,918741	5,958805	0,000000	48,226419	0,002000	19,431419	17,701940	0,000000	10,383688
583075,775895	60486,000000	-0,000948	19,493228	90,911661	5,980714	0,000000	48,254445	0,002000	19,431739	17,702231	0,000000	10,389644
583086,276215	60487,000000	-0,000947	19,493473	90,883498	5,970461	0,000000	48,200922	0,002000	19,432063	17,702526	0,000000	10,378093
583096,775909	60488,000000	-0,000948	19,493692	90,942016	5,961475	0,000000	48,262523	0,002000	19,432381	17,702816	0,000000	10,391331
583107,676556	60489,000000	-0,000947	19,494017	90,924569	5,961606	0,000000	48,207693	0,002000	19,432705	17,703111	0,000000	10,379489
583118,576445	60490,000000	-0,000948	19,493991	90,900903	5,992768	0,000000	48,242396	0,002000	19,433025	17,703402	0,000000	10,386963
583128,976513	60491,000000	-0,000947	19,493809	90,913030	5,965584	0,000000	48,184077	0,002000	19,433349	17,703698	0,000000	10,374428
583139,176026	60492,000000	-0,000948	19,494689	90,896786	5,952940	3,000000	48,241234	0,002000	19,433668	17,703988	0,014497	10,537424
583149,776421	60494,000000	-0,000948	19,495170	90,916716	5,947587	0,000000	48,223692	0,002000	19,434311	17,704574	0,000000	10,382802
583160,276786	60495,000000	-0,000948	19,495557	90,909838	5,945045	0,000000	48,219398	0,002000	19,434633	17,704867	0,000000	10,381834
583170,676042	60496,000000	-0,000949	19,496380	90,907901	5,933144	3,000000	48,268538	0,002000	19,434951	17,705157	0,014497	10,543193
583181,676188	60497,000000	-0,000948	19,496048	90,938075	5,953676	3,000000	48,225760	0,002000	19,435275	17,705452	0,014497	10,533888
583192,075961	60498,000000	-0,000948	19,496637	90,895257	5,981686	3,000000	48,252445	0,002000	19,435595	17,705744	0,014497	10,539649
583202,476141	60499,000000	-0,000947	19,497294	90,951052	5,982442	3,000000	48,198660	0,002000	19,435919	17,706039	0,014497	10,527825
583213,175935	60500,000000	-0,000948	19,497434	90,923674	5,978119	3,000000	48,261123	0,002000	19,436237	17,706329	0,014497	10,541452
583223,776824	60501,000000	-0,000947	19,497638	90,896337	5,987060	3,000000	48,200658	0,002000	19,436561	17,706624	0,014497	10,528221
583234,376330	60502,000000	-0,000948	19,497890	90,896223	5,991930	0,000000	48,233461	0,002000	19,436881	17,706915	0,000000	10,384597
583245,276041	60503,000000	-0,000947	19,497694	90,917059	5,963464	3,000000	48,170885	0,002000	19,437205	17,707211	0,014497	10,521712
583255,676671	60505,000000	-0,000948	19,498657	90,926056	5,947026	3,000000	48,241079	0,002000	19,437844	17,707793	0,014497	10,536933
583266,276113	60506,000000	-0,000948	19,499079	90,925046	5,979064	83,000000	48,254031	0,002000	19,438165	17,708085	0,401091	17,197569
583276,576656	60507,000000	-0,000948	19,499430	90,943076	5,979378	3,000000	48,220122	0,002000	19,438488	17,708379	0,014497	10,532267
583287,076151	60508,000000	-0,000949	19,499711	90,897923	5,988753	83,000000	48,270426	0,002000	19,438807	17,708670	0,401091	17,203295
583297,576189	60509,000000	-0,000948	19,499549	90,908718	5,962956	83,000000	48,222759	0,002000	19,439131	17,708965	0,401091	17,186337
583308,375945	60510,000000	-0,000948	19,500437	90,898622	5,970863	83,000000	48,258167	0,002000	19,439450	17,709256	0,401091	17,198790
583318,876619	60511,000000	-0,000947	19,500707	90,948398	5,963893	83,000000	48,197215	0,002000	19,439774	17,709551	0,401091	17,177017
583329,476408	60512,000000	-0,000948	19,501272	90,917302	5,995446	83,000000	48,256612	0,002000	19,440093	17,709841	0,401091	17,198080
583339,976280	60513,000000	-0,000947	19,500919	90,939180	5,982049	0,000000	48,198692	0,002000	19,440417	17,710137	0,000000	10,376767
583350,476021	60514,000000	-0,000948	19,501723	90,892953	5,968720	0,830000	48,229842	0,002000	19,440737	17,710428	0,004011	10,424655
583361,075953	60515,000000	-0,000947	19,501687	90,922468	5,987571	0,830000	48,172664	0,002000	19,441061	17,710723	0,004011	10,412300
583371,676164	60517,000000	-0,000948	19,502438	90,904028	5,981078	83,000000	48,231935	0,002000	19,441701	17,711306	0,401091	17,189069
583382,175876	60518,000000	-0,000948	19,502657	90,920926	6,005762	0,840000	48,249478	0,002000	19,442021	17,711598	0,004059	10,429292
583392,775909	60519,000000	-0,000947	19,503028	90,907734	5,986211	84,000000	48,209002	0,002000	19,442344	17,711892	0,405923	17,317528
583403,476561	60520,000000	-0,000948	19,503546	90,892550	6,013106	84,000000	48,262313	0,002000	19,442663	17,712183	0,405923	17,336581
583414,476967	60521,000000	-0,000947	19,503792	90,914959	6,025044	84,000000	48,208896	0,002000	19,442987	17,712478	0,405923	17,317346
583424,876807	60522,000000	-0,000948	19,504555	90,902391	5,970461	84,000000	48,247836	0,002000	19,443306	17,712769	0,405923	17,331191
583435,875949	60523,000000	-0,000947	19,504398	90,898048	5,993619	84,000000	48,188801	0,002000	19,443630	17,713064	0,405923	17,310014
583446,676532	60524,000000	-0,000948	19,505227	90,938368	6,018405	0,840000	48,249525	0,002000	19,443949	17,713354	0,004059	10,429009
583457,376821	60525,000000	-0,000947	19,504944	90,927894	5,951973	0,840000	48,191497	0,002000	19,444273	17,713649	0,004059	10,416499
583468,076657	60527,000000	-0,000948	19,506217	90,904238	5,986736	0,840000	48,219516	0,002000	19,444914	17,714234	0,004059	10,422410
583478,676152	60528,000000	-0,000948	19,505483	90,924714	5,991039	0,840000	48,262275	0,002000	19,445233	17,714524	0,004059	10,431736
583489,676671	60529,000000	-0,000948	19,505904	90,959774	5,974159	0,840000	48,220374	0,002000	19,445557	17,714819	0,004059	10,422631
583500,276463	60530,000000	-0,000948	19,507100	90,896422	5,969470	0,840000	48,245242	0,002000	19,445877	17,715110	0,004059	10,427870
583510,776487	60531,000000	-0,000947	19,506885	90,924836	6,001324	0,840000	48,187799	0,002000	19,446201	17,715406	0,004059	10,415478
583521,475821	60532,000000	-0,000948	19,507309	90,914307	5,980323	0,840000	48,260080	0,002000	19,446519	17,715695	0,004059	10,431053
583532,176188	60533,000000	-0,000947	19,507060	90,879741	6,022517	5,840000	48,196856	0,002000	19,446843	17,715991	0,028221	10,672991
