Aika_s_	SuhteellinenKokoonpuristuma___	Maksimileikkausj_nnitys_kPa_	Huokosvedenpaine_kPa_	Sellipaine_mitattu_kPa_	SuhteellinenTilavuudenMuutos___	Voimamittaus_kg_	Siirtym__mm_	Vaaka_g_	Var1
521190.776155	15.823217	10.704196	5.989719	90.892376	0.071037	45.206545	17.421185	14.7	5
523581.676881	15.895799	10.02381	5.908517	90.893893	0.003576	45.402507	17.501346	0.74	5
525972.376091	15.968384	10.762947	5.904826	90.88073	0.071326	45.519035	17.582444	14.76	5
528365.076603	16.040969	10.783455	5.897076	90.938949	0.071471	45.637481	17.661804	14.79	5
530755.576009	16.113554	10.79889	5.886598	90.914131	0.071616	45.735013	17.741968	14.82	5
533146.676124	16.186139	10.055983	5.900826	90.884971	0	45.867084	17.822512	0	5
535537.776024	16.258724	10.841712	5.901034	90.899773	0.071858	45.984221	17.903622	14.87	5
537930.176107	16.33131	10.855139	5.899057	90.9256	0.072051	46.071713	17.98452	14.91	5
540321.576757	16.403895	10.877521	5.924546	90.954468	0.072341	46.191993	18.064149	14.97	5
542713.076156	16.476772	10.902856	5.938928	90.937182	0.07268	46.32324	18.14508	15.04	5
545104.075876	16.54936	10.907037	5.851902	90.902937	0.072969	46.366905	18.225624	15.1	5
547494.676662	16.621943	10.940209	5.844989	90.919272	0.073356	46.529154	18.306156	15.18	5
549885.875811	16.694529	10.957524	5.849623	90.929794	0.073791	46.621712	18.386709	15.27	5
552276.876677	16.767115	10.977318	5.763597	90.951227	0.074033	46.734231	18.46666	15.32	5
554668.275794	16.839699	11.003897	5.722603	90.909603	0.074371	46.87161	18.547861	15.39	5
557059.875921	16.912284	11.025564	5.686329	90.960675	0.074661	46.989918	18.627644	15.45	5
559452.276087	16.98487	11.038585	5.624027	90.920415	0.074854	47.076134	18.706995	15.49	5
561843.97584	17.057454	11.06477	5.584436	90.92367	0.075096	47.217285	18.788433	15.54	5
564237.775931	17.130327	11.109064	5.582983	90.920388	0.075289	47.437289	18.867706	15.58	5
566631.775795	17.202911	11.130431	5.589022	90.88734	0.075434	47.562877	18.948532	15.61	5
569028.375914	17.275791	11.142001	5.641164	90.921087	0.075531	47.648298	19.027573	15.63	5
571426.376344	17.348377	11.149831	5.637956	90.918313	0.075531	47.723631	19.108272	15.63	5
573836.976315	17.42155	11.159204	5.682848	90.930458	0.075579	47.803062	19.188626	15.64	5
576286.875914	17.496181	11.191041	5.68113	90.920032	0.075676	47.97645	19.268951	15.66	5
578765.275851	17.571402	11.203115	5.736152	90.892923	0.075821	48.064644	19.352709	15.69	5
581261.675958	17.647203	11.243727	5.84782	90.873733	0.076256	48.259235	19.433917	15.78	5
583787.176639	17.723889	11.247335	5.999116	90.91788	0.076594	48.300823	19.51649	15.85	5
586361.176453	17.802038	11.253259	6.145632	90.904301	0.076787	48.360943	19.601006	15.89	5
589963.97611	17.911211	11.268422	6.357698	90.872827	0.077077	48.475057	19.721631	15.95	5
